nr raty,data,kurs NBP,kurs mBank
1,31-07-2006,2.5511,2.5511
2,31-08-2006,2.5455,2.5455
3,02-10-2006,2.5455,2.5455
4,31-10-2006,2.5013,2.5013
5,30-11-2006,2.4525,2.4525
6,02-01-2007,2.4337,2.4337
7,31-01-2007,2.4719,2.4719
8,28-02-2007,2.4915,2.4915
9,02-04-2007,2.4321,2.4321
10,30-04-2007,2.3524,2.3524
11,31-05-2007,2.3692,2.3692
12,02-07-2007,2.3270,2.3270
13,31-07-2007,2.3458,2.3458
14,31-08-2007,2.3745,2.3745
15,01-10-2007,2.3161,2.3161
16,31-10-2007,2.2195,2.2195
17,30-11-2007,2.2346,2.2346
18,31-12-2007,2.2113,2.2113
19,31-01-2008,2.2927,2.2927
20,29-02-2008,2.2594,2.2594
21,31-03-2008,2.2867,2.2867
22,30-04-2008,2.1828,2.1828
23,02-06-2008,2.1289,2.1289
24,30-06-2008,2.1359,2.1359
25,31-07-2008,2.0126,2.0126
26,01-09-2008,2.1102,2.1102
27,30-09-2008,2.2068,2.2068
28,31-10-2008,2.5261,2.5261
29,01-12-2008,2.5683,2.5683
30,31-12-2008,2.8505,2.8505
31,02-02-2009,3.0813,3.0813
32,02-03-2009,3.3239,3.3239
33,31-03-2009,3.1874,3.1874
34,30-04-2009,3.0040,3.0040
35,01-06-2009,3.0298,3.0298
36,30-06-2009,3.0029,3.0029
37,31-07-2009,2.7947,2.7947
38,31-08-2009,2.7791,2.7791
39,30-09-2009,2.8819,2.8819
40,02-11-2009,2.9020,2.9020
41,30-11-2009,2.8330,2.8330
42,31-12-2009,2.8498,2.8498
43,01-02-2010,2.8081,2.8081
44,01-03-2010,2.7794,2.7794
45,31-03-2010,2.7882,2.7882
46,30-04-2010,2.8019,2.8019
47,31-05-2010,2.9529,2.9529
48,30-06-2010,3.2126,3.2126
49,02-08-2010,3.0202,3.0202
50,31-08-2010,3.1771,3.1771
51,30-09-2010,3.0872,3.0872
52,02-11-2010,2.9596,2.9596
53,30-11-2010,3.2072,3.2072
54,31-12-2010,3.2712,3.2712
55,31-01-2011,3.1720,3.1720
56,28-02-2011,3.2051,3.2051
57,31-03-2011,3.1823,3.1823
58,02-05-2011,3.1581,3.1581
59,31-05-2011,3.3307,3.3307
60,30-06-2011,3.4049,3.4049
61,01-08-2011,3.6065,3.6065
62,31-08-2011,3.6307,3.6307
63,30-09-2011,3.7353,3.7353
64,31-10-2011,3.6513,3.6513
65,30-11-2011,3.7815,3.7815
66,02-01-2012,3.7719,3.7719
67,31-01-2012,3.6177,3.6177
68,29-02-2012,3.5295,3.5295
69,03-04-2012,3.5372,3.5372
70,30-04-2012,3.5732,3.5732
71,31-05-2012,3.7638,3.7638
72,02-07-2012,3.6268,3.6268
73,31-07-2012,3.5292,3.5292
74,31-08-2012,3.6021,3.6021
75,01-10-2012,3.5104,3.5104
76,31-10-2012,3.5201,3.5201
77,30-11-2012,3.4983,3.4983
78,31-12-2012,3.4830,3.4830
79,31-01-2013,3.5099,3.5099
80,28-02-2013,3.5070,3.5070
81,02-04-2013,3.5374,3.5374
82,30-04-2013,3.4749,3.4749
83,31-05-2013,3.4569,3.5370
84,01-07-2013,3.5125,3.6187
85,31-07-2013,3.4465,3.5348
86,02-09-2013,3.4497,3.5653
87,30-09-2013,3.4500,3.5604
88,31-10-2013,3.3875,3.4887
89,02-12-2013,3.4079,3.5137
90,31-12-2013,3.3816,3.4819
91,31-01-2014,3.4644,3.5757
92,28-02-2014,3.4211,3.5219
93,31-03-2014,3.4192,3.5237
94,30-04-2014,3.4433,3.5412
95,02-06-2014,3.3849,3.4937
96,30-06-2014,3.4246,3.5199
97,31-07-2014,3.4225,3.5191
98,01-09-2014,3.4901,3.5943
99,30-09-2014,3.4600,3.5675
100,31-10-2014,3.4860,3.5967
101,01-12-2014,3.4741,3.5796
102,31-12-2014,3.5447,3.6653
103,02-02-2015,3.9555,4.0448
104,02-03-2015,3.8742,3.9446
105,31-03-2015,3.9110,3.9703
106,30-04-2015,3.8438,3.9058
107,01-06-2015,3.9984,4.0386
108,30-06-2015,4.0412,4.0873
109,31-07-2015,3.9355,3.9734
110,31-08-2015,3.9238,3.9699
111,30-09-2015,3.8785,3.9317
112,02-11-2015,3.9060,3.9689
113,30-11-2015,3.9099,3.9760
114,31-12-2015,3.9394,3.9947
115,01-02-2016,3.9730,4.0474
116,29-02-2016,3.9922,4.0733
117,31-03-2016,3.9040,3.9720
118,02-05-2016,3.9844,4.0326
119,31-05-2016,3.9701,4.0362
120,30-06-2016,4.0677,4.1285
121,01-08-2016,4.0313,4.0840
122,31-08-2016,3.9745,4.0346
123,30-09-2016,3.9802,4.0335
124,31-10-2016,3.9953,4.0610
125,30-11-2016,4.1159,4.1781
126,03-01-2017,4.1137,4.1801
127,31-01-2017,4.0625,4.1359
128,28-02-2017,4.0535,4.1022
129,31-03-2017,3.9461,3.9987
130,02-05-2017,3.8884,3.9477
131,31-05-2017,3.8338,3.8897
132,30-06-2017,3.8667,3.9352
133,31-07-2017,3.7381,3.8002
134,31-08-2017,3.7184,3.7720
135,02-10-2017,3.7825,3.8281
136,31-10-2017,3.6603,3.7200
137,30-11-2017,3.6008,3.6513
138,02-01-2018,3.5567,3.6213
139,31-01-2018,3.5755,3.6361
140,28-02-2018,3.6268,3.6835
141,03-04-2018,3.5832,3.6350
142,30-04-2018,3.5236,3.5641
143,01-06-2018,3.7442,3.8025
144,02-07-2018,3.8019,3.8390
145,31-07-2018,3.6928,3.7490
146,31-08-2018,3.8033,3.8623
147,01-10-2018,3.7452,3.8217
148,31-10-2018,3.7982,3.8587
149,30-11-2018,3.7873,3.8323
150,31-12-2018,3.8166,3.8790
151,31-01-2019,3.7521,3.8080
152,28-02-2019,3.8013,3.8583
153,01-04-2019,3.8495,3.9025
154,30-04-2019,3.7607,3.8225
155,31-05-2019,3.8294,3.8889
156,01-07-2019,3.8034,3.8676
157,31-07-2019,3.8856,3.9452
158,02-09-2019,4.0192,4.0777
159,30-09-2019,4.0278,4.1012
160,31-10-2019,3.8681,3.9230
161,02-12-2019,3.9047,3.9716
162,31-12-2019,3.9213,3.9845
163,31-01-2020,4.0194,4.0728
164,02-03-2020,4.0566,4.1182
165,31-03-2020,4.3001,4.3664
166,30-04-2020,4.2989,4.3565
167,01-06-2020,4.1401,4.2067
168,30-06-2020,4.1818,4.2294
169,31-07-2020,4.0946,4.1520
170,31-08-2020,4.0884,4.1396
171,30-09-2020,4.1878,4.2591
172,02-11-2020,4.3124,4.3818
173,30-11-2020,4.1364,4.2113
174,31-12-2020,4.2641,4.2744
175,31-01-2021,4.1710,4.2454
176,28-02-2021,,
177,31-03-2021,,
178,30-04-2021,,
179,31-05-2021,,
180,30-06-2021,,
181,31-07-2021,,
182,31-08-2021,,
183,30-09-2021,,
184,31-10-2021,,
185,30-11-2021,,
186,31-12-2021,,
187,31-01-2022,,
188,28-02-2022,,
189,31-03-2022,,
190,30-04-2022,,
191,31-05-2022,,
192,30-06-2022,,
193,31-07-2022,,
194,31-08-2022,,
195,30-09-2022,,
196,31-10-2022,,
197,30-11-2022,,
198,31-12-2022,,
199,31-01-2023,,
200,28-02-2023,,
201,31-03-2023,,
202,30-04-2023,,
203,31-05-2023,,
204,30-06-2023,,
205,31-07-2023,,
206,31-08-2023,,
207,30-09-2023,,
208,31-10-2023,,
209,30-11-2023,,
210,31-12-2023,,
211,31-01-2024,,
212,29-02-2024,,
213,31-03-2024,,
214,30-04-2024,,
215,31-05-2024,,
216,30-06-2024,,
217,31-07-2024,,
218,31-08-2024,,
219,30-09-2024,,
220,31-10-2024,,
221,30-11-2024,,
222,31-12-2024,,
223,31-01-2025,,
224,28-02-2025,,
225,31-03-2025,,
226,30-04-2025,,
227,31-05-2025,,
228,30-06-2025,,
229,31-07-2025,,
230,31-08-2025,,
231,30-09-2025,,
232,31-10-2025,,
233,30-11-2025,,
234,31-12-2025,,
235,31-01-2026,,
236,28-02-2026,,
237,31-03-2026,,
238,30-04-2026,,
239,31-05-2026,,
240,30-06-2026,,
241,31-07-2026,,
242,31-08-2026,,
243,30-09-2026,,
244,31-10-2026,,
245,30-11-2026,,
246,31-12-2026,,
247,31-01-2027,,
248,28-02-2027,,
249,31-03-2027,,
250,30-04-2027,,
251,31-05-2027,,
252,30-06-2027,,
253,31-07-2027,,
254,31-08-2027,,
255,30-09-2027,,
256,31-10-2027,,
